"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_long"
"04/20/2025 14:57:06:471 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches","mean [fertility] of patches"
"5","true","80","3","150","12","80","50","12000","113","1.5311350939663702","17.601769911504423","0.5222653437313053","42.739516536207994","44.9995098519753","0.990199000098035"
"4","true","80","3","150","12","80","50","13000","91","1.4806136581149634","17.505494505494507","0.5189329576507631","42.7724447241589","45.55543574159396","0.9917851191059761"
"1","true","80","3","150","12","80","50","13000","90","1.4398742577548778","16.355555555555554","0.5071901454643206","42.30257501116406","45.72100774433879","0.9918360945005432"
"6","true","80","3","150","12","80","50","14000","91","1.442552417018986","17.24175824175824","0.5991024190120159","41.71515250688309","45.95392608567788","0.9920772473286956"
"3","true","80","3","150","12","80","50","16000","85","1.3358842051543998","17.41176470588235","0.5215018763524057","39.96413544366311","46.336241544946574","0.9932339966669953"
"2","true","80","3","150","12","80","50","14000","85","1.4407205998684742","17.658823529411766","0.5573166410059277","40.11112127544859","45.58278600137241","0.9910479364768218"
"4","true","80","3","150","12","80","50","14000","90","1.479809043627147","16.488888888888887","0.5066958975896427","42.534253129840586","45.402705617096366","0.9906813057543443"
"5","true","80","3","150","12","80","50","13000","104","1.4789959698497772","16.932692307692307","0.4920764197634186","40.84544830499575","44.880992059602","0.9911440054896603"
"1","true","80","3","150","12","80","50","14000","97","1.4604409561195488","16.185567010309278","0.4970269407994304","41.625191925542296","45.5750416625821","0.9924046662091978"
"6","true","80","3","150","12","80","50","15000","93","1.4431994354376287","16.516129032258064","0.5148055394338017","40.50458495401566","45.76884619154985","0.9921399862758574"
"3","true","80","3","150","12","80","50","17000","87","1.376663260857864","19.03448275862069","0.5063726670963777","38.18016704301247","46.08891285168121","0.9932653661405773"
"2","true","80","3","150","12","80","50","15000","100","1.4819281482683897","17.91","0.5335235615953318","41.221961251299454","45.43672189001078","0.9916263111459702"
"4","true","80","3","150","12","80","50","15000","104","1.488836367812934","17.03846153846154","0.43199482554710467","41.89362990208801","45.123517302225274","0.9914831879227588"
"1","true","80","3","150","12","80","50","15000","99","1.4890540564254189","17.585858585858585","0.5520919184150617","41.47347109165031","45.32467405156357","0.9897559062837004"
"5","true","80","3","150","12","80","50","14000","114","1.4101096040842975","18.105263157894736","0.48549077794209183","42.07302455641543","44.86060190177434","0.9912871287128782"
"6","true","80","3","150","12","80","50","16000","90","1.3915810502114017","16.022222222222222","0.4936353747555889","40.05555967469892","45.58190373492795","0.992685030879328"
"3","true","80","3","150","12","80","50","18000","75","1.4918270479516025","19.48","0.5091277527530329","39.86955483438344","45.997451230271544","0.9936202333104628"
"2","true","80","3","150","12","80","50","16000","97","1.4567732554207224","17.783505154639176","0.5211499718973633","39.494298846039904","45.25370061758651","0.9914616214096705"
