altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,ticks,altruists,selfish,void,max_pink,max_green,max_black
0.26,0.26,0.0,0.0,0.5,1.0,8,66.0,0.0,0.0,1681.0,406.0,402.0,1681.0
0.26,0.26,0.0,0.0,0.5,1.0,9,54.0,1.0,0.0,1680.0,384.0,364.0,1680.0
0.26,0.26,0.0,0.0,0.75,0.0,0,4966.0,0.0,1422.0,259.0,753.0,1444.0,402.0
0.26,0.26,0.0,0.0,0.75,0.0,1,2751.0,1427.0,0.0,254.0,1427.0,862.0,435.0
0.26,0.26,0.0,0.0,0.75,0.0,2,3665.0,0.0,1420.0,261.0,883.0,1442.0,452.0
0.26,0.26,0.0,0.0,0.75,0.0,3,3438.0,1410.0,0.0,271.0,1451.0,963.0,436.0
0.26,0.26,0.0,0.0,0.75,0.0,4,2225.0,1422.0,0.0,259.0,1438.0,768.0,428.0
0.26,0.26,0.0,0.0,0.75,0.0,5,2685.0,1396.0,0.0,285.0,1444.0,836.0,397.0
0.26,0.26,0.0,0.0,0.75,0.0,6,2614.0,0.0,1405.0,276.0,738.0,1434.0,471.0
0.26,0.26,0.0,0.0,0.75,0.0,7,1980.0,1417.0,0.0,264.0,1441.0,752.0,440.0
0.26,0.26,0.0,0.0,0.75,0.0,8,5861.0,0.0,1431.0,250.0,1353.0,1445.0,413.0
0.26,0.26,0.0,0.0,0.75,0.0,9,5855.0,0.0,1415.0,266.0,1191.0,1440.0,424.0
0.26,0.26,0.0,0.0,0.75,0.25,0,4005.0,0.0,1309.0,372.0,652.0,1347.0,622.0
0.26,0.26,0.0,0.0,0.75,0.25,1,2322.0,0.0,1315.0,366.0,897.0,1333.0,632.0
0.26,0.26,0.0,0.0,0.75,0.25,2,1791.0,1303.0,0.0,378.0,1344.0,766.0,655.0
0.26,0.26,0.0,0.0,0.75,0.25,3,4466.0,0.0,1272.0,409.0,894.0,1347.0,644.0
0.26,0.26,0.0,0.0,0.75,0.25,4,2315.0,1289.0,0.0,392.0,1337.0,887.0,635.0
0.26,0.26,0.0,0.0,0.75,0.25,5,3361.0,1289.0,0.0,392.0,1342.0,1112.0,665.0
0.26,0.26,0.0,0.0,0.75,0.25,6,6419.0,1310.0,0.0,371.0,1352.0,1121.0,633.0
0.26,0.26,0.0,0.0,0.75,0.25,7,2800.0,0.0,1277.0,404.0,846.0,1316.0,644.0
0.26,0.26,0.0,0.0,0.75,0.25,8,1723.0,0.0,1275.0,406.0,732.0,1337.0,597.0
0.26,0.26,0.0,0.0,0.75,0.25,9,1290.0,0.0,1319.0,362.0,597.0,1334.0,617.0
0.26,0.26,0.0,0.0,0.75,0.5,0,1526.0,0.0,1058.0,623.0,650.0,1114.0,819.0
0.26,0.26,0.0,0.0,0.75,0.5,1,874.0,0.0,1070.0,611.0,759.0,1070.0,801.0
0.26,0.26,0.0,0.0,0.75,0.5,2,2572.0,1088.0,0.0,593.0,1129.0,815.0,759.0
0.26,0.26,0.0,0.0,0.75,0.5,3,2265.0,0.0,1068.0,613.0,605.0,1085.0,756.0
0.26,0.26,0.0,0.0,0.75,0.5,4,3424.0,0.0,1060.0,621.0,628.0,1106.0,729.0
0.26,0.26,0.0,0.0,0.75,0.5,5,9162.0,1049.0,0.0,632.0,1127.0,886.0,736.0
0.26,0.26,0.0,0.0,0.75,0.5,6,1474.0,0.0,1019.0,662.0,545.0,1114.0,770.0
0.26,0.26,0.0,0.0,0.75,0.5,7,1906.0,1056.0,0.0,625.0,1099.0,599.0,786.0
0.26,0.26,0.0,0.0,0.75,0.5,8,4480.0,1057.0,0.0,624.0,1088.0,999.0,760.0
0.26,0.26,0.0,0.0,0.75,0.5,9,6113.0,1138.0,0.0,543.0,1138.0,1031.0,737.0
0.26,0.26,0.0,0.0,0.75,0.75,0,280.0,0.0,35.0,1646.0,474.0,414.0,1655.0
0.26,0.26,0.0,0.0,0.75,0.75,1,139.0,69.0,0.0,1612.0,403.0,400.0,1622.0
0.26,0.26,0.0,0.0,0.75,0.75,2,160.0,78.0,0.0,1603.0,422.0,456.0,1637.0
0.26,0.26,0.0,0.0,0.75,0.75,3,479.0,0.0,15.0,1666.0,397.0,401.0,1671.0
0.26,0.26,0.0,0.0,0.75,0.75,4,269.0,62.0,0.0,1619.0,383.0,418.0,1642.0
0.26,0.26,0.0,0.0,0.75,0.75,5,145.0,0.0,54.0,1627.0,386.0,423.0,1638.0
0.26,0.26,0.0,0.0,0.75,0.75,6,590.0,4.0,0.0,1677.0,404.0,438.0,1677.0
0.26,0.26,0.0,0.0,0.75,0.75,7,336.0,27.0,0.0,1654.0,397.0,403.0,1656.0
0.26,0.26,0.0,0.0,0.75,0.75,8,367.0,15.0,0.0,1666.0,434.0,437.0,1666.0
